user,wine,Rank,Appearance,Aroma,Body,Taste,Finish,Price
Johannes,WineA,4,4,2,2,3,3,21
Johannes,WineB,3,5,3,2,3,3,12
Johannes,WineC,5,5,2,2,2,1,18
Johannes,WineD,6,5,2,1,1,1,15
Johannes,WineE,2,5,3,3,2,3,22
Johannes,WineF,1,5,3,2,1,3,25
Allison,WineA,5,4,4,5,5,5,25
Allison,WineB,2,3,4,3,4,4,19
Allison,WineC,1,5,5,4,4,3,20
Allison,WineD,6,4,3,2,1,1,11
Allison,WineE,3,5,4,4,4,4,9
Allison,WineF,4,3,4,5,5,5,17
Rama,WineA,6,5,2,2,3,2,22
Rama,WineB,3,4,3,3,4,5,22
Rama,WineC,4,4,4,3,2,2,18
Rama,WineD,5,3,3,3,3,3,20
Rama,WineE,2,3,3,3,3,3,15
Rama,WineF,1,5,5,5,5,5,10
Xiaoying,WineA,2,4,3,3,3,5,13
Xiaoying,WineB,1,4,4,3,3,4,25
Xiaoying,WineC,4,4,3,4,3,2,12
Xiaoying,WineD,3,5,3,3,3,3,9
Xiaoying,WineE,6,4,3,2,2,3,9
Xiaoying,WineF,5,5,4,4,4,3,10
Grace,WineA,6,3,3,2,2,2,11
Grace,WineB,1,4,4,3,3,3,27
Grace,WineC,4,4,3,2,2,2,16
Grace,WineD,2,3,3,3,3,3,16
Grace,WineE,3,5,4,2,3,2,10
Grace,WineF,5,2,2,2,2,2,9
Katie,WineA,2,5,4,5,4,3,12
Katie,WineB,4,5,3,3,4,4,20
Katie,WineC,6,4,3,3,1,3,8
Katie,WineD,3,3,4,5,2,2,9
Katie,WineE,5,1,2,3,4,1,8
Katie,WineF,1,1,2,3,4,5,21
Jiyoung,WineA,3,4,3,3,3,3.5,0
Jiyoung,WineB,1,4,3,3.5,3.5,3.5,0
Jiyoung,WineC,4,4,3,3,3,3,0
Jiyoung,WineD,6,4,2.5,3,3,3,0
Jiyoung,WineE,5,4,2.5,3,3,3,0
Jiyoung,WineF,2,4,3.5,3,3.5,3.5,0
Alan,WineA,2,5,3,4,4,4,10
Alan,WineB,5,4,4,2,2,3,23
Alan,WineC,3,5,1,4,2,3,18
Alan,WineD,4,2,4,2,4,3,16
Alan,WineE,6,4,2,3,4,2,21
Alan,WineF,1,4,4,4,4,5,19
John B.,WineA,5,4,3,2,3,2,12
John B.,WineB,1,4,3,3,4,4,18
John B.,WineC,6,3,3,2,2,2,15
John B.,WineD,4,3,3,2,4,4,20
John B.,WineE,2,4,4,2,3,4,10
John B.,WineF,3,3,3,3,4,3,15
Brian,WineA,2,5,3,4,3,3,20
Brian,WineB,1,4,3,4,3,4,25
Brian,WineC,6,3,4,2,2,2,10
Brian,WineD,5,4,4,4,3,3,25
Brian,WineE,3,4,5,4,3,4,12
Brian,WineF,4,5,3,3,3,3,15
Jess,WineA,3,4,3,4,3,2,27
Jess,WineB,1,0,0,0,0,0,25
Jess,WineC,6,3,4,0,0,0,10
Jess,WineD,4,0,0,0,0,0,22
Jess,WineE,5,0,0,0,0,0,10
Jess,WineF,2,0,0,0,0,0,20
Christel,WineA,2,0,0,0,0,0,15
Christel,WineB,1,0,0,0,0,0,20
Christel,WineC,5,0,0,0,0,0,18
Christel,WineD,3,0,0,0,0,0,21
Christel,WineE,4,0,0,0,0,0,12
Christel,WineF,6,0,0,0,0,0,19
Francisco,WineA,3,4,2,4,4,3,20
Francisco,WineB,2,5,3,4,4,3,0
Francisco,WineC,4,5,3,4,3,3,0
Francisco,WineD,5,4,4,3,3,3,0
Francisco,WineE,6,4,3,4,3,3,0
Francisco,WineF,1,5,3,4,4,4,0
Henry,WineA,2,0,0,0,0,0,14
Henry,WineB,3,0,0,0,0,0,17
Henry,WineC,1,0,0,0,0,0,20
Henry,WineD,4,0,0,0,0,0,16
Henry,WineE,5,0,0,0,0,0,20
Henry,WineF,6,0,0,0,0,0,10
Dean,WineA,5,4,4,4,3,3,15
Dean,WineB,2,4,3,4,4,3,17
Dean,WineC,3,3,4,4,3,3,0
Dean,WineD,4,4,3,2,2,2,0
Dean,WineE,6,4,3,2,2,2,0
Dean,WineF,1,4,4,4,5,4,0
Smita,WineA,3,4,4,3,3,4,20
Smita,WineB,1,5,5,4,4,5,25
Smita,WineC,5,3,2,2,2,3,15
Smita,WineD,4,4,2,2,2,2,15
Smita,WineE,6,4,2,3,3,3,15
Smita,WineF,2,2,4,4,4,4,25
John C.,WineA,6,4,3,3,2,2,15
John C.,WineB,2,4,4,4,3,3,20
John C.,WineC,5,3,4,3,3,4,20
John C.,WineD,1,4,4,4,4,5,25
John C.,WineE,3,3,4,3,4,4,15
John C.,WineF,4,4,4,3,4,3,15
Jeff,WineA,3,4,2,3,3,2,24
Jeff,WineB,2,2,3,4,4,4,25
Jeff,WineC,5,4,2,2,2,2,13
Jeff,WineD,6,4,1,2,1,2,8
Jeff,WineE,4,3,2,4,2,2,18
Jeff,WineF,1,2,3,4,4,4,25
Jesse H. ,WineA,5,2,3,2,4,2,17
Jesse H. ,WineB,3,3,4,4,3,4,20
Jesse H. ,WineC,2,4,4,5,3,3,15
Jesse H. ,WineD,6,4,2,3,3,3,10
Jesse H. ,WineE,4,1,5,5,4,3,13
Jesse H. ,WineF,1,5,3,4,4,5,20
Kathryn,WineA,4,3,4,1,2,3,15
Kathryn,WineB,3,2,4,3,2,4,60
Kathryn,WineC,6,1,1,2,2,2,10
Kathryn,WineD,1,5,4,4,4,4,30
Kathryn,WineE,5,3,2,2,3,3,25
Kathryn,WineF,2,3,4,3,4,4,40
Nayad,WineA,1,3,4,2,5,4,19
Nayad,WineB,2,2,4,3,4,4,22
Nayad,WineC,4,4,3,2,2,2,22
Nayad,WineD,3,4,3,3,3,2,12
Nayad,WineE,6,3,1,2,2,1,20
Nayad,WineF,5,2,3,2,2,2,20
Emily ,WineA,2,3,4,4,3,4,18
Emily ,WineB,1,4,5,4,4,5,23
Emily ,WineC,4,2,1,2,2,3,11
Emily ,WineD,3,5,3,3,2,2,14
Emily ,WineE,6,3,1,1,2,2,17
Emily ,WineF,5,1,2,3,2,2,20
Rebekah,WineA,3,4,4,2,4,4,20
Rebekah,WineB,1,3,3,3,4,3,30
Rebekah,WineC,4,3,3,3,3,4,10
Rebekah,WineD,5,4,3,3,3,4,15
Rebekah,WineE,6,3,2,1,2,3,20
Rebekah,WineF,2,2,3,4,4,3,12
Nick,WineA,4,4,4,3,4,3,25
Nick,WineB,2,5,2,3,3,3,25
Nick,WineC,3,1,1,1,1,1,25
Nick,WineD,5,4,2,5,3,5,25
Nick,WineE,6,4,4,3,3,3,25
Nick,WineF,1,3,3,3,3,3,25
